	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV500	unknown	unknown	unknown	unknown	unknown
ASV501	unknown	unknown	unknown	unknown	unknown
ASV502	unknown	unknown	unknown	unknown	unknown
ASV503	unknown	unknown	unknown	unknown	unknown
ASV504	unknown	unknown	unknown	unknown	unknown
ASV505	unknown	unknown	unknown	unknown	unknown
ASV506	unknown	unknown	unknown	unknown	unknown
ASV507	unknown	unknown	unknown	unknown	unknown
ASV508	unknown	unknown	unknown	unknown	unknown
ASV509	unknown	unknown	unknown	unknown	unknown
ASV510	unknown	unknown	unknown	unknown	unknown
ASV511	unknown	unknown	unknown	unknown	unknown
ASV512	unknown	unknown	unknown	unknown	unknown
ASV513	unknown	unknown	unknown	unknown	unknown
ASV514	unknown	unknown	unknown	unknown	unknown
ASV515	unknown	unknown	unknown	unknown	unknown
ASV516	unknown	unknown	unknown	unknown	unknown
ASV517	unknown	unknown	unknown	unknown	unknown
ASV518	unknown	unknown	unknown	unknown	unknown
ASV519	unknown	unknown	unknown	unknown	unknown
ASV520	unknown	unknown	unknown	unknown	unknown
ASV521	unknown	unknown	unknown	unknown	unknown
ASV522	unknown	unknown	unknown	unknown	unknown
ASV523	unknown	unknown	unknown	unknown	unknown
ASV524	unknown	unknown	unknown	unknown	unknown
ASV525	unknown	unknown	unknown	unknown	unknown
ASV526	yes	unknown	negative	unknown	no
ASV527	unknown	unknown	unknown	unknown	unknown
ASV528	unknown	unknown	unknown	unknown	unknown
ASV529	unknown	unknown	unknown	unknown	unknown
ASV530	unknown	unknown	unknown	unknown	unknown
ASV531	unknown	unknown	unknown	unknown	unknown
ASV532	unknown	unknown	unknown	unknown	unknown
ASV533	yes	anaerobe	unknown	unknown	unknown
ASV534	unknown	unknown	unknown	unknown	unknown
ASV535	unknown	unknown	unknown	unknown	unknown
ASV536	unknown	unknown	unknown	unknown	unknown
ASV537	yes	mixed	unknown	unknown	unknown
ASV538	unknown	unknown	unknown	unknown	unknown
